GSM2445681	GSM2445682	GSM2445683	GSM2445684	GSM2445685	GSM2445686	GSM2445687	GSM2445688	GSM2445689	GSM2445690	GSM2445691	GSM2445692	GSM2445693	GSM2445694	GSM2445695	GSM2445696	GSM2445697	GSM2445698	GSM2445699	GSM2445700	GSM2445701	GSM2445702	GSM2445703	GSM2445704	GSM2445705	GSM2445706	GSM2445707	GSM2445708	GSM2445709	GSM2445710	GSM2445711	GSM2445712	GSM2445713	GSM2445714	GSM2445715
AMICA1	1160.75901495476	644.623288476069	225.619853652084	1852.11427784779	546.72345879634	652.228678446094	819.308633779163	254.613868113829	444.072732628041	327.512177117603	820.362997922598	790.092604554709	67.58958429933	566.139332404753	1060.51218082307	1004.36255598044	391.844145022692	440.255914077158	751.455906994816	437.625018058438	893.713711489195	786.759059717611	329.149114707376	220.548579816726	571.130316509875	995.941128244591	224.672669948663	36.7254394908824	343.039522075534	1853.64557331124	85.8552590965924	96.221664950755	204.813332911081	209.206559145659	632.379151579629
ANP32B	2611.00343958573	1582.34568545863	1890.3629546104	1530.42214438265	1955.16998509949	944.56469628069	1401.92810668879	1198.18290877096	1493.25556246352	1674.49834917271	1205.63784040048	1172.26432751256	2643.50374148491	1272.80970476813	2005.08070296037	1342.04687640896	1843.39258161619	3010.1983807369	1543.22375397972	1331.90222887351	3492.80610442816	1779.35624552413	8120.78111501155	3701.66493497479	1893.40951083105	1497.49421441093	2976.91287681978	7887.70626665426	3325.52313829225	1346.49098665062	2491.28277688905	2979.86468644369	4559.32288915101	2228.41055586531	1498.5791659282
ANXA1	34040.9485392982	10014.0572487732	4240.88843559595	19619.7517625758	6135.85444706533	18107.6368694017	9610.18682658744	5871.0962529777	13678.4161489714	1465.18605552612	7192.57539260221	9082.67690518981	10866.0687252577	4745.93397803133	2911.35590663264	6396.1383045874	70689.0534263815	1986.50051697619	37748.5140625181	7192.27203591693	8973.30914072715	20405.4195662806	30076.4427611106	26019.1252510902	14538.6419032007	11000.3898306728	8266.08198186121	7252.356163462	53567.0915414749	5848.70919993028	31186.1827352933	44445.3884261597	62907.376295428	27079.9855765854	38762.4506420984
APOE	5567.13546978302	5532.85426755441	3634.13673876888	9500.75662096357	6395.3368833594	7029.57575658568	1441.37630016705	3594.54872631288	2952.35168395566	7747.01736249609	5171.24455236978	2435.32831969951	2630.98715179984	3996.70277642334	2645.43008395885	2763.5488870364	7923.13790093054	6335.57062145802	5932.05701546526	5369.02100160186	1966.52306308926	7698.34591572523	3784.33000968669	3894.17767837414	8868.05722220586	739.0231188002	1399.52350655521	1354.25058122629	2999.14553586038	3745.48317328869	498.848660612959	1374.16565257797	307.714717562058	3125.83455440738	4049.35221431661
APP	4043.6392626549	9639.16304021843	7911.99113908749	4042.39548844868	6660.85379491612	8213.65945907539	5914.19454531699	5594.01645532441	8375.56959817502	3489.35905996725	5129.99290256911	7085.08428235338	6437.6992946831	6495.74618414474	7845.87547216747	3993.86198095063	5303.45031502411	8472.66334829611	4468.4235019788	5924.1668045609	2868.17697537154	4587.90312149282	6472.38111313026	10039.6330210639	4720.12953888555	8021.77864548085	8237.99789811763	7525.0425516818	4221.3463473695	3286.29066662749	14203.1243281346	13523.6543161256	6440.24146820398	6015.77067832983	9671.68114180608
ARG1	14.7912253119235	7.79000952841171	12.7468843871234	12.1393257911372	9.65516042024442	24.5660519188736	21.2413349498301	59.9091454385479	3.25328009251312	14.7749854338769	15.5666603021366	9.48653213015946	11.6821503727237	22.4849663933802	12.7644394883419	14.8978376659644	834.825183185139	12.3436237591726	8.26911589540375	17.907929127711	13.2336679884876	77.7610698558104	30.9683306848338	9.34527880579346	16.0730858304843	20.4715545374017	16.3823821837567	30.298487579978	68.6079044151068	16.8755466664655	28.1249986695734	130.801325792433	17.8098550357461	103.160475716653	10.6282210349517
ARG2	42.2606437483529	59.3988226541393	247.289557110194	69.3675759493553	80.861968519547	56.5019194134093	91.0342926421292	179.727436315644	74.8254421278017	307.812196539101	37.3599847251278	42.011785147849	32.5431331811589	32.9244150760211	196.785108778604	52.1424318308756	43.7436073846088	159.644200618633	49.6146953724225	44.7698228192775	37.0542703677652	64.0385281165498	47.7797101994578	142.98276572864	126.441608533143	126.92363813189	45.6366360833221	224.025180894383	97.0311791013653	55.955759999333	214.638147741481	285.658067822554	113.7851849506	166.643845388439	46.4984670279139
ATF1	306.389667175558	393.395481184791	687.057068465951	358.110110838547	586.550995529848	117.917049210593	436.96460468222	396.89808853038	393.646891194087	325.049679545291	300.436543831236	430.959602484387	790.214028783524	355.744289723837	307.4102510109	484.179724143844	452.83875250264	557.108885663992	336.966472737703	409.643878796389	498.468160899699	297.321737683981	594.591949148808	690.616103748137	324.676333775782	407.383935294293	431.792787557586	1140.3248961919	448.891717458841	246.027706663734	439.638137098068	814.877225051706	650.059708804734	789.213709328797	338.774545489087
ATF2	948.047108088049	865.664808844751	1088.58392666034	678.935149604315	1221.37779316092	399.198343681696	934.618737792526	636.534670284572	943.451226828804	847.099164875606	790.008010333432	544.7979880463	1139.00966134056	867.277275173238	719.063424509925	650.538911413781	621.036003432192	1086.23889080719	551.9634860182	689.455271416874	896.360445086892	882.816851892436	850.301879660722	1712.98960510194	508.981051298669	826.027225584157	720.824816085293	1625.10069747155	850.738014747324	476.956239994315	812.664435241883	923.126598121306	637.197035723362	1215.56224882909	991.08161150925
ATG10	163.407822493631	226.884027514991	140.215728258357	80.6398070411255	138.792931041014	87.2094843120013	224.551255183919	172.238793135825	232.609526614688	150.212351911081	133.094945583268	85.3787891714351	247.82847576421	229.667871018098	181.893262708872	163.876214325609	175.590536684697	304.476052726259	141.608609708789	157.813625437953	132.336679884876	324.766821162502	135.375845565131	318.674007277557	155.373163028015	118.73501631693	126.378376846123	345.219131214294	159.758405995177	160.76178666475	244.243409498927	148.842887970699	146.436585849468	225.077401563606	244.44908380389
ATG12	66.2083418724195	43.8188035973158	90.5028791485761	49.4243978639156	138.792931041014	67.5566427769024	39.448193478256	119.818290877096	89.4652025441108	64.024936880133	55.2616440725849	59.6296305324309	79.2717346720537	88.3337965454224	45.7392414998917	55.8668912473667	83.7905718916449	65.0097517983093	88.8929958755903	61.5585063765066	62.6393618121746	54.8901669570427	82.287278676844	83.1729813715618	45.004640325356	67.5561299734255	57.3383376431483	85.3866468163015	168.57942227712	58.6203199993012	60.6907866027636	208.981428564921	68.2711109703602	94.5036525795908	50.4840499160208
ATG16L1	584.605571852215	515.114380066224	568.511043665703	380.654573022087	698.79223541519	418.851185216795	540.136803009966	314.523013552377	985.743868031475	613.161895505889	290.318214634847	402.500006093908	646.69046706149	737.988718411302	393.570217557208	921.182962345468	498.430681326035	432.849739821654	769.027778272549	321.223478728316	544.344876593123	370.508626960038	738.81588919532	1095.26667603899	367.537895990407	384.865225303151	382.645641006316	556.390408286868	565.525154964523	474.291679994346	738.651280848269	672.048191140429	421.499902512659	334.009092704966	514.14019256579
ATG5	645.883505287326	588.145719395084	883.359088027651	400.597751107527	471.895965539446	378.317199550653	649.377954180521	524.205022587294	720.601540491656	482.64952417331	470.113141124525	388.947817336538	777.697439098463	640.018507697288	351.022085929401	743.650396826059	638.903110673793	705.232370774064	342.13467017233	433.14803577651	786.962123048728	498.585683193137	1022.83972204765	974.712579444258	525.054137129153	610.05232521457	507.853847696456	1502.98861116436	843.877224305813	310.865333329628	652.796021751677	978.754748170961	846.957550588816	1232.15449317512	815.715964432546
ATG7	583.19688372727	612.48949917137	741.868671330581	635.580414635968	563.619989531768	560.105983750318	652.412430601926	381.920802170743	494.498574061994	595.9244124997	516.813122030935	436.380477987335	568.253171701774	880.928861912076	583.973106591641	1003.12106950827	732.551396905631	592.493940440287	718.379443413201	605.511853630728	406.714729512852	494.011502613384	687.49694120331	685.008936464661	473.620262471603	695.009276544787	532.427420972091	563.735496185045	579.246735847544	537.352933326928	824.506539944862	610.406187031352	536.274523854134	397.492462376752	635.036206838367
ATM	33.1041709362097	31.1600381136468	28.0431456516715	28.614125079109	42.2413268385693	23.3377493229299	45.5171463210646	14.977286359637	39.0393611101574	54.1749465908818	31.91165361938	28.4595963904784	32.5431331811589	31.3183460479225	53.1851645347578	18.6222970824556	25.876500143008	69.1242930513668	40.3119399900933	16.7886835572291	44.1122266282919	36.5934446380284	45.1252818550435	42.0537546260706	30.0030935502373	30.7073318061025	33.9349345234959	50.4974792999633	39.2045168086324	39.9683999995236	62.1710496906359	60.1385405942219	28.6936553353688	31.7416848358931	29.2276078461173
AXL	1004.39463308585	737.129651625958	976.411344053652	991.95633607578	743.44735235882	1324.11019842729	785.929393143715	838.728036139671	975.984027753936	472.799533884059	1601.03101207475	1016.4141568028	1678.05745711053	611.912299705562	421.226503115282	1098.71552786488	1548.89336570291	483.870051359568	699.773932648542	1240.12409209399	324.665987984229	279.025015364967	351.269350910829	550.436921661235	475.763340582335	553.755550236715	1158.46845442279	314.002507647044	534.161541517617	999.209999988089	259.04604037765	461.563299060653	360.154846278422	544.658455706802	555.324549076228
BAGE	24.6520421865392	16.5537702478749	21.6697034581098	15.6077045886049	22.9310059980805	36.8490778783104	21.2413349498301	89.8637181578219	13.0131203700525	51.712449018569	28.7983215589527	36.5909096449008	15.8543469344107	21.6819318793309	76.5866369300512	32.2786482762563	14.7865715102903	71.5930178032014	25.8409871731367	25.7426481210846	15.8804015861851	54.8901669570427	23.0050456515908	15.8869739698489	16.0730858304843	33.7780649867128	24.573573275635	20.1989917199853	41.1647426490641	24.8692266663702	38.4868402846794	36.0831243565331	22.7570369901201	28.1346751954507	29.2276078461173
BATF	173.972983430719	236.621539425506	182.280446735865	67.6333865506214	191.896313352358	211.268046502313	121.379056856172	44.931859078911	121.998003469242	219.16228393584	93.3999618128195	111.127947810439	57.5763125512811	236.092147130493	41.4844283371111	140.287971354499	107.202643449605	81.4679168105395	248.073476862112	100.732101343374	454.355934271407	77.7610698558104	82.287278676844	43.9228103872293	157.516241138746	112.593549955709	30.4244240555481	34.8891675163383	83.3095982183439	192.736506664369	56.2499973391468	55.6281500496552	39.5774556349914	38.9557041167779	83.697240650245
BAX	1043.83790058432	673.835824207613	1263.21624276393	1264.224071677	999.309103495297	926.140157341535	934.618737792526	546.67095212675	1028.03650923415	1465.18605552612	895.082967372854	830.749170826821	1609.63343349886	1303.325016302	1158.37288356702	1473.64444245832	1013.49625560115	1247.52890792705	1120.46520382721	1018.51346913856	1024.28590230894	1038.33899160406	1943.04154811128	2756.85724770907	728.646557648621	822.956492403547	1206.44543081808	2282.48606435834	1642.6692542817	1037.4020266543	2152.3025297663	2322.85113045182	1683.03130087801	1326.65814575471	1098.69234948814
BCL10	1170.61983182937	1619.34823071858	1535.99956864837	1230.40737840169	1007.75736886301	1830.17086795608	870.894732943036	688.955172543301	1418.43012033572	992.386521642062	841.377989330483	1730.61450431623	3044.8690507192	1516.12916252507	989.244060346495	1373.08403821306	1666.56983063897	1133.96756934266	2121.02822717106	998.367048869888	1239.553568255	631.236920005991	1318.36607772578	1753.17430396685	846.515853738839	1002.08259460581	1096.44943615571	1424.02891625896	1028.13845330639	676.798239991932	2738.48671256372	2389.00352510546	2478.53815914134	1191.75598520217	1142.53376125731
