	GSM2445681	GSM2445682	GSM2445683	GSM2445684	GSM2445685	GSM2445686	GSM2445687	GSM2445688	GSM2445689	GSM2445690	GSM2445691	GSM2445692	GSM2445693	GSM2445694	GSM2445695	GSM2445696	GSM2445697	GSM2445698	GSM2445699	GSM2445700	GSM2445701	GSM2445702	GSM2445703	GSM2445704	GSM2445705	GSM2445706	GSM2445707	GSM2445708	GSM2445709	GSM2445710	GSM2445711	GSM2445712	GSM2445713	GSM2445714	GSM2445715
AMICA1	10.1162964589004	9.38279272366687	7.88048811810797	10.8284574454464	9.05029280189415	9.43159259577525	9.69172239933312	8.09969310888113	8.84028366134904	8.39717227372944	9.69404026607059	9.61753001636025	6.22659166588264	9.12258846231934	10.0308779793043	10.0096787159387	8.74084116365343	8.74421027893959	9.59409919066149	8.92813547288182	9.76902257920952	9.65037059583756	8.49059332933008	7.83017559545771	9.34408602373529	9.97955459677707	7.97560144727212	5.36977848717108	8.48377823819891	10.8161800532667	6.36803243209784	6.60985796008777	7.74215828264486	7.84051803274996	9.32376712144738
ANP32B	11.2850903112176	10.6770127372327	10.9416346839162	10.5533853350097	10.8866879469103	9.96519976803527	10.4659106806845	10.3298962946196	10.5876025636489	10.7477392546886	10.2489305089964	10.1861188909833	11.4966778271643	10.2898987947428	10.9491093859709	10.4274717524175	10.9721215005288	11.5147000685477	10.6313016575953	10.531811737674	11.7342595968213	10.8267027649785	13.1114387273492	11.8930424074039	11.0715867758936	10.5674807757021	11.6980665240024	13.0803268210322	11.7571941937326	10.3553288588561	11.2094367406243	11.5478360701303	12.2119681615117	11.2476606865595	10.5671629286974
ANXA1	14.9891366893971	13.3381400264769	12.1069201317938	14.2327807358124	12.5361245687597	14.2245982521393	13.2421672616272	12.6217610277837	13.782112294601	10.5552173369949	12.8246279269079	13.1388298657181	13.5355963659558	12.187707242785	11.4869068607581	12.6793869775719	16.2324541597424	10.9153317370139	15.2428056558279	12.9639549957717	13.095247374225	14.3454825985136	15.000259977006	14.7060342868408	14.0118216773759	13.4435689311782	13.1711676735363	12.9591857657979	15.7664862137765	12.4733711567816	14.8548068787714	15.4460890565656	15.9980160112694	14.8502410868037	15.2592158619537
APOE	12.3771056658618	12.4823251860815	11.8842224140663	13.1866702713605	12.5958705389202	12.8596315300284	10.5059166558225	11.9140907360634	11.5705298627931	12.9569753104956	12.3487108963314	11.2402771480371	11.4898331023931	11.9398850681646	11.3487698532799	11.4690050118376	13.0752636739119	12.5880501119719	12.573195216803	12.5422294604573	10.9058578219996	12.9392681679412	12.0100500650576	11.9661675370255	13.2986765367144	9.54962400866357	10.609688040466	10.5390412240931	11.6082110209791	11.8305511160605	8.89172034224289	10.431723636201	8.32712481347497	11.7357120055446	12.0006431264552
APP	11.915929765565	13.2830987749569	13.0064384680432	11.9540530126556	12.6545477513658	13.0841902867263	12.541880096447	12.5520272665599	13.074536944229	11.806523871974	12.337158478959	12.7805436598864	12.7804692576572	12.6404248703799	12.9168251981567	12.0001062492841	12.4962078562139	13.0073303638143	12.1645083562161	12.6841593845928	11.4501018437128	12.1926825530055	12.7841594463326	13.3322566401795	12.3890141921363	12.9880577502488	13.1662583073121	13.0124289822815	12.1012252014869	11.6419162385002	13.7201680475167	13.7296162935498	12.7101720965564	12.6800113208607	13.2565083584793
ARG1	3.92204667764456	3.18309654514037	3.83622027691782	3.69367654899042	3.37463792679701	4.75478578712609	4.48808693247783	6.02968774763345	2.13022237407427	4.01704771842364	4.06399100624727	3.38501877149412	3.78585598706851	4.53137590968782	3.76625541091169	4.0271254827723	9.83019546183342	3.70283299270932	3.25112934934292	4.3867304762335	3.80032890377003	6.32829080611606	5.11986574453897	3.40964484652525	4.2696808293254	4.44351054452671	4.2709969744928	5.09982952905729	6.17831985527924	4.12371817419452	4.79435657885531	7.04878330026155	4.28952580583038	6.82711359156424	3.55830514786708
ARG2	5.37160881403824	5.96455712112017	8.01224403668497	6.11049074289413	6.30903497026864	5.92504526744027	6.53606727621391	7.59944274760288	6.28696170104466	8.3079555175959	5.27437358789032	5.41759289773348	5.1933071906052	5.06110213694675	7.60701605884585	5.76802511501186	5.60502000070005	7.28679189865572	5.70013102943051	5.66549943604147	5.21567708405521	6.0521308450577	5.73039120142441	7.20844991666816	7.17673735560465	7.01747360213971	5.69896334395056	7.94829724833539	6.67238467794077	5.79242140461741	7.67915147964735	8.16961290542364	6.89968997070613	7.51400895512788	5.58709030756789
ATF1	8.19838700001597	8.67173423072548	9.48279274602125	8.46115661656821	9.15154818700151	6.97368197690182	8.78639946402127	8.73821207871773	8.66680401718575	8.38631726948314	8.24793204643824	8.74463269441214	9.75574450702664	8.45384395663525	8.24782131438657	8.95855726233743	8.9490918363481	9.08310192019749	8.43937322361902	8.8330183734599	8.92805777296303	8.24950713861654	9.34191080939705	9.47252238341676	8.53099871266019	8.69200304469764	8.91528810350926	10.2911783467893	8.87079409882428	7.90806993910551	8.70985496772377	9.67855878411025	9.40367060668749	9.75124491197857	8.42530632549178
ATF2	9.82455825760094	9.80757779070419	10.1459791058637	9.38203804337521	10.2083737635806	8.72468053737632	9.88147216287485	9.41837505658657	9.92572261317013	9.76545493591906	9.6397138919657	9.08207908601373	10.2826839209908	9.73700086556854	9.47098045144019	9.38388774333764	9.40395875463806	10.0450800304977	9.14967664166505	9.5827851987646	9.7732837902451	9.81636214473759	9.85729884157855	10.7818369284933	9.17815650171041	9.70998547633834	9.65336591949525	10.8019095621978	9.79164498606668	8.86011473707656	9.59457217168463	9.85829244030166	9.37488210623333	10.3737773167402	9.97114365595856
ATG10	7.29590563550166	7.88037431390222	7.1980689580546	6.32471918565815	7.08061071215604	6.54261373747495	7.82910030147595	7.53837451106695	7.91033519308821	7.2778080247998	7.07944574600413	6.42295112477846	8.08659101565164	7.82487141662803	7.49410952422259	7.40143346414805	7.5870376395369	8.21373750593098	7.19455651913419	7.46204785559371	7.02316513463732	8.37647474135914	7.2147097400799	8.35915323968878	7.47209420730521	6.92204718739415	7.15009997028722	8.57004010234098	7.38603821625714	7.29744339996286	7.86468759872255	7.23383862940345	7.26088229750642	7.94555503576871	7.95617787169065
