gene_id	string_protein_id	propagate_score
NDUFAF1	9606.ENSP00000260361	2.9985641395066614e-05
TMEM126B	9606.ENSP00000351737	1.7957839276878106e-05
NDUFAF5	9606.ENSP00000367346	1.9827822499025866e-05
NUBPL	9606.ENSP00000281081	1.5461294822682194e-05
NDUFAF2	9606.ENSP00000296597	2.985441039345991e-05
NDUFB5	9606.ENSP00000259037	5.9582921794722956e-05
NDUFA13	9606.ENSP00000423673	6.963092464495112e-05
ATP5F1C	9606.ENSP00000349142	0.00013936490820939213
ACAD9	9606.ENSP00000312618	2.5141005531371668e-05
ECSIT	9606.ENSP00000270517	2.646959511838729e-05
TMEM186	9606.ENSP00000331640	5.294983725889556e-06
NDUFA5	9606.ENSP00000417142	7.19923549835703e-05
FUCA2	9606.ENSP00000002165	1.577540459713547e-06
FUCA1	9606.ENSP00000363603	6.035849928637014e-06
GLB1	9606.ENSP00000306920	3.9427233941678435e-05
HS3ST1	9606.ENSP00000002596	7.056196366002863e-06
HS2ST1	9606.ENSP00000359581	1.6381616060757012e-05
SULT1C3	9606.ENSP00000333310	1.4305172811536465e-05
UST	9606.ENSP00000356433	9.469777202379764e-07
GLCE	9606.ENSP00000261858	7.000094587205728e-06
SULT1B1	9606.ENSP00000308770	1.4027415068588415e-05
SULT1C4	9606.ENSP00000272452	1.501870169466715e-05
HS6ST1	9606.ENSP00000259241	7.925779804389542e-06
SEMA3F	9606.ENSP00000002829	7.92738007223929e-06
PLXNA4	9606.ENSP00000352882	4.5944269229859285e-05
PLXNA1	9606.ENSP00000377061	5.5035535819752456e-05
NRCAM	9606.ENSP00000368314	2.5898331405256897e-05
NRP1	9606.ENSP00000265371	9.615592020191695e-05
PLXND1	9606.ENSP00000317128	3.154848562478125e-05
NRP2	9606.ENSP00000353582	3.360067559176774e-05
PLXNA3	9606.ENSP00000358696	3.9389650933348223e-05
CFTR	9606.ENSP00000003084	9.945444646392802e-05
PRKACG	9606.ENSP00000366488	0.0004041172936450976
